test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
8;2,5;8,5;8;60,5;51,5;58;0;1;0;0;0;0;1;1;0;0;9;24,5;24,5;0;0;1;0;0;0;0;7;0;0;4;5;7;10;20.000 forint
6.5;7,5;7;0;29,75;21;29,75;0;1;1;0;0;0;1;1;0;0;8,75;21;0;0;0;1;0;0;0;0;7;0;0;5;5;7;8;12.000 forint
7.5;7;7,5;9;41,75;31;34,75;0;1;1;0;0;0;1;1;0;0;10,75;24;0;0;0;1;0;0;0;0;7;0;0;4;5;9;8;11.000 forint
13;6;16;11;75,83;66;69,83;0;1;0;0;0;0;1;1;0;0;9,83;40;20;1;0;1;0;0;0;0;7;0;0;3;5;8;8;20.000 forint
13;6;14;13;86,75;75,5;80,75;0;1;1;0;0;0;1;1;0;0;11,25;40;29,5;1;0;1;0;0;0;0;7;0;0;5;5;6;8;20.000 forint
10.5;15;14;12;88;78;77,5;0;1;1;0;0;0;1;1;0;0;10;41;26,5;0;0;1;0;0;0;0;7;0;0;5;4;4;7;20.000 forint
13;14,5;13;11,5;96,5;86;85;0;1;1;0;0;0;1;1;0;0;10,5;40,5;34;0;0;1;0;0;0;0;7;0;0;3;5;3;5;12.000 forint
9.5;12;14,5;14;93,5;82;84;0;1;1;0;0;0;1;1;0;0;11,5;40,5;32;1;0;1;0;0;0;0;8;0;0;4;5;4;1;12.000 forint
14;8,5;8;6;67,5;58,5;61,5;0;0;1;0;0;0;1;1;0;0;9;30,5;22;0;0;1;0;0;0;0;8;0;0;3;4;5;3;11.000 forint
15;16;14,5;0;86;74,5;86;0;1;1;0;0;0;1;1;0;0;11,5;45,5;29;1;0;1;0;0;0;0;8;0;0;5;5;9;10;15.000 forint
13;10;14;0;67;56;67;0;1;1;0;0;0;1;1;0;0;11;37;19;1;0;1;0;0;0;0;8;0;0;3;5;6;8;15.000 forint
12;13;8;16;95,5;84;87,5;0;1;1;0;0;0;1;1;0;0;11,5;41;35;0;0;1;0;0;0;0;8;0;0;5;5;6;7;12.000 forint
0.5;5,5;11;10;59,5;49;59;0;1;0;0;0;0;1;1;0;0;10,5;26,5;22;1;0;1;0;0;0;0;8;0;0;4;4;6;9;15.000 forint
6.5;4;0;0;13,25;10,5;13,25;0;1;0;0;0;0;1;1;0;0;2,75;10,5;0;0;0;1;0;0;0;0;8;0;0;3;4;7;5;20.000 forint
12;11,5;13;10;76;65,5;66;0;1;0;0;0;0;1;1;0;0;10,5;36,5;19;0;0;1;0;0;0;0;8;0;0;2;5;5;8;20.000 forint
16;13,5;13;16;105;94;92;0;1;1;0;0;0;1;1;0;0;11;45,5;35,5;1;0;1;0;0;0;0;8;0;0;4;5;3;7;11.000 forint
8;11,5;8;8;45,5;35,5;37,5;0;1;0;0;0;0;1;1;0;0;10;27,5;0;1;0;1;0;0;0;0;8;0;0;2;5;6;4;15.000 forint
13;13;15;16;104,5;92,5;91,5;0;1;1;0;0;0;1;1;0;0;12;44;35,5;1;0;1;0;0;0;0;8;0;0;5;5;4;4;11.000 forint
5;7;6;0;52,5;41,5;52,5;0;1;1;0;0;0;1;1;0;0;11;18;23,5;0;0;1;0;0;0;0;8;0;0;4;5;3;3;11.000 forint
4.5;7;10;0;29,83;21,5;29,83;0;1;0;0;0;0;1;1;0;0;8,33;21,5;0;0;0;1;0;0;0;0;8;0;0;NA;3;7;5;15.000 forint
8.5;11;14;11;82,33;71;73,83;0;1;1;0;0;0;1;1;0;0;11,33;36;26,5;0;0;1;0;0;0;0;8;0;0;3;5;5;7;12.000 forint
7;1;10;5;54;43;53;0;1;1;0;0;0;1;1;0;0;11;22;20;0;0;1;0;0;0;0;8;0;0;3;4;8;8;15.000 forint
15;11,5;14;12;92,17;83;80,67;0;1;0;1;0;0;0;0;1;0;9,17;41;30,5;1;1;0;0;0;0;0;2;1;0;4;4;4;7;15.000 forint
8.5;9;11,5;14,5;79;67;70,5;0;0;1;1;0;0;0;0;1;0;12;35;23,5;0;1;0;0;0;0;0;2;0;0;5;5;8;7;20.000 forint
10.5;13;12,5;13;90,25;78,5;79,75;0;1;1;1;0;0;0;0;1;0;11,75;38,5;29,5;0;1;0;0;0;0;0;2;0;0;4;5;5;7;12.000 forint
0;6,5;12;0;70,25;58,5;70,25;0;1;0;1;0;0;0;0;1;0;11,75;18,5;40;1;1;0;0;0;0;0;2;1;0;4;5;5;5;15.000 forint
